article_text,category
"PhotoGood morning and happy New Year from Washington. We close 2014 with a tour of the echoing halls of an Obama-less White House, preview the books coming in 2015 from the top Republican presidential contenders and find the humor hidden away in former Gov. Jeb Bush’s many, many emails. On a more serious note, House Republicans end the year on a defensive note over Representative Steve Scalise’s 2002 speech to a white supremacist group.Will the long New Year’s weekend keep the Steve Scalise controversy from gaining momentum?Republican leaders hope so. They’ve already been forced to divert their focus from the new Congress that convenes next week to show their support for Mr. Scalise of Louisiana, the No. 3 Republican in the House. He is under fire for a 12-year-old speech he gave to a white supremacist group that goes by the acronym EURO.Democrats will certainly work to keep the issue alive into 2015, and some Republicans indicated on Tuesday that the problem would not go away anytime soon.“This is acidic for the Republican Party,” said Peter Wehner, a former adviser to President George W. Bush. “I just think it is an untenable position to have a person in the leadership of the Republican Party in the House who has spoken to a white supremacist group.”Mr. Scalise, in very abject terms, said he didn’t know the group’s racist history and regretted speaking to its members. Speaker John A. Boehner of Ohio and the House majority leader, Representative Kevin McCarthy of California, were vocal in their support of their colleague on Tuesday.More significant, Representative Cedric L. Richmond — the only Democrat and only African-American in the Louisiana congressional delegation — offered his backing. His advice to Mr. Scalise? Use the unwanted attention to speak out against the racial discrimination that still plagues communities nationwide.“He’s got a chance to write his own history,” Mr. Richmond said.— Steve KennyHow quiet are things in the nation’s capital? We thought a quick walk over to the White House might offer a clue.As we made it up the driveway past the northwest gate, we saw no Marine guard outside the West Wing’s main entrance. They’re on duty only when President Obama is in the building, and he’s in Hawaii.More telling were the dark windows to the left of the front door: the offices of Josh Earnest, the press secretary, and Jennifer Palmieri, the communications director, were empty and quiet — an unusual sight. The two administration officials hardly ever take a break from work.Inside the press section, the tiny rooms that serve as the White House bureaus for the major news organizations were also shut down and vacant: The Associated Press, CNN, CBS, ABC and NBC were all empty. The desks for The Washington Post, The Los Angeles Times and the normally bustling area for White House photographers were deserted. (Reuters had a single reporter at her desk.)Two assistant press secretaries — Shawn Turner and Jessica Santillo — were at their computers. But upstairs, where Mr. Palmieri and Mr. Earnest work, the phones were silent, the computers were turned off, and the doors were shut.It’s all something of an illusion. Aides who travel with Mr. Obama on his annual vacation take the work of the White House to Hawaii. The political and national security machinery at the White House — along with news media coverage — stands at the ready if events warrant.But for those of us who spend time amid the barely controlled chaos, it’s always a bit of a surprise to see the White House so quiet.— Michael D. ShearThe trove of recently released Jeb Bush emails reveals the former Florida governor’s responsiveness to voters, his conservative instincts and even his facility with Spanish.But they also show his lighter side when it comes to dealing with criticism from constituents and the pitfalls of being an email addict.In 2000, when a constituent urged him to stay the course on his One Florida diversity initiative, Mr. Bush promised to push ahead, adding that he would check into problems at unisex bathrooms at highway rest stops.Oops. Mr. Bush followed up with an apology: “I am sorry about the sentence about the unisex bathrooms. That was supposed to go to another person who wrote me concerned about them!”Another exchange began when a resident of Newberry, Fla., called him a Nazi in disguise.“Chill out, John,” Mr. Bush advised. He recommended deep-breathing exercises as a relaxation technique.Mr. Bush played humble about his own fitness regimen in 2003 when State Senator Paula Dockery told him in an email that he was looking trim.The governor replied that he was actually “really out of shape” despite his daily walk to work. Perhaps, he said, it was a wardrobe illusion.“Bigger suits make me look thin,” Mr. Bush said.— Alan RappeportCan’t wait for the 2016 presidential campaign? Check out your local bookshop in 2015.A raft of potential Republican presidential candidates will be coming out with book-length manifestos in the coming months that lay out policies and detail life stories. Call them long-form campaign fliers.Some titles reflect their authors’ ambitions, like Senator Marco Rubio’s “American Dreams: Restoring Economic Opportunity for Everyone,” due in a few weeks.Other books carry more colorful covers. “God, Guns, Grits and Gravy,” by former Gov. Mike Huckabee of Arkansas, is scheduled for release on Jan. 20. Besides the four G’s in the title, Mr. Huckabee takes time to talk about government bailouts, political appetites (we’re talking food) and a variety of other issues.Senator Rand Paul of Kentucky appears to be playing peacemaker in “Taking a Stand: Moving Beyond Partisan Politics to Unite America.” It comes out in June and details Mr. Paul’s four years in the Senate.Ted Cruz, the take-no-prisoners senator from Texas, also has a book that is to go on sale on May 12. No title yet, but we’re sure it will be memorable.We’re reading plenty right now about former Gov. Jeb Bush of Florida in the thousands of emails obtained through Freedom of Information requests. But he also has plans for a book early next year. In keeping with his penchant for paperless communication, he has said it will be an e-book.— Alan RappeportThe Labor Department releases weekly jobless claims at 8:30 a.m. (Last week’s were the lowest in seven weeks.)Freddie Mac’s weekly mortgage rates come out at 10 a.m.The National Association of Realtors posts its pending home sales index for November at 10 a.m.The pollsters at Quinnipiac posed this question to residents of New York State: Would you rather toast in the new year with Hillary Rodham Clinton, Gov. Andrew M. Cuomo or Mayor Bill de Blasio?Almost half said they would prefer to down their champagne with none of them.Mrs. Clinton was No. 1, with 37 percent of the New Yorkers who responded to the survey saying they would celebrate with her. Mrs. Clinton was especially popular among women (43 percent of whom picked her) and people under 29: She was the choice of 45 percent of them.That would make Mr. Cuomo and Mr. de Blasio the wallflowers of 2015, according to the poll’s results, which were released on Monday. They each were the preferred dates of just 8 percent of respondents.None of them should expect to dine out on their bipartisan appeal. Mrs. Clinton was the most popular among Republicans, with just 15 percent of them willing to take her along on New Year’s Eve. More than 70 percent of Republicans did not want any of the three Democrats on offer.— Emmarie HuettemanMayor Bill de Blasio’s meeting with police union leaders does not appear to have ended with any concrete results.The legacy of the Jim Crow era endures for many older African-Americans, and it may explain low voter turnout among blacks in some areas, Nate Cohn writes in The Upshot.Outrage over the prisoner exchange that freed Sgt. Bowe Bergdahl in Afghanistan almost scuttled White House negotiations with Cuba.More trouble for Gov. Sam Brownback of Kansas: A state court rules that public schools there are being unconstitutionally underfunded.Congressional hopefuls start lining up to replace Representative Michael G. Grimm in New York’s 11th District.The Times-Picayune in New Orleans details the racist history of the group that Representative Steve Scalise addressed in 2002 — a speech that has blown up into a contemporary controversy.Politico Magazine says Jeb Bush “pushed the boundaries of executive power” when he was governor of Florida, like Barack Obama has as president.President Obama’s approval ratings are improving, and The Wall Street Journal looks at the reasons.In The New Yorker, Amy Davidson questions why New York City police officers are still turning their backs in a symbolic protest of Mayor Bill de Blasio.The Washington Post columnist Petula Dvorak writes that Maureen McDonnell, the former first lady of Virginia, has been betrayed by her children since she was convicted with her husband, former Gov. Bob McDonnell, of corruption.To our readers: First Draft returns with our first newsletter of 2015 at 7 a.m. on Monday.",politics
"A version of this article appears in print on , on Page B 10 of the New York edition with the headline: Sports Briefing | Auto Racing; Gordon to Be Fox Analyst Next Year",sports
"GLENN KENNY The opera tells this peculiar story clearly and strongly. You can, I think, go into the Met with no idea of the source material and experience a work that speaks to you. But people should watch the film regardless! It’s one of Buñuel’s most enigmatic and entertaining works. It feels very deadpan, almost tossed off, which is a key feature of his style. The opera is more, well, operatic.I think Buñuel understood and loved music as much as any other film director. But the movies from his fecund late period in France don’t have musical scores. There’s music in some of them — memorably, the flamenco that Ángela Molina dances to in “That Obscure Object of Desire” — but no scores. The music in those late films is mostly in their rhythms. In “Belle de Jour,” when the film wants to convey the disjointed consciousness and subconscious of its conflicted heroine, her memories and fantasies are cut with a syncopated abruptness.WALLS This is one of the biggest hurdles for a composer trying to adapt Buñuel: defining in music something that originally had little of it. Mr. Adès responds to the challenge with a crazily varied score. His earlier works have exhibited some similar traits; his 1995 opera “Powder Her Face” is full of self-consciously outrageous winking.But his sounds here are stranger and funnier. He emphasizes the situation’s surrealism with his choice of instruments, like the ondes Martenot and its ethereal, swooping tones. Miniature violins and a salad bowl are included.",movies
"Federal accident investigators said on Thursday that they found multiple breaches in the engine of a British Airways aircraft that was forced to abort its takeoff on Tuesday at the Las Vegas McCarran International Airport, suggesting the airplane had suffered an uncontained engine failure.The National Transportation Safety Board said that it also found pieces of the high-pressure compressor spool on the runway, and that it planned to take the engine apart to determine what might have caused the failure.British Airways flight 2276, a Boeing 777-200ER, was equipped with two GE90-85B engines. It was headed to Gatwick Airport in London with 157 passengers and 13 crew members. Everyone escaped, with only a few minor injuries, as fire and smoke engulfed the plane at the end of the runway.This type of episode is extremely rare as modern jet engines are designed to prevent internal parts of the engine from breaking out in an accident, lest they rupture fuel lines.",business
"Ken Hechler, a leading voice for national coal-mining reforms during his nine terms in the House of Representatives and a colorful presence in West Virginia politics for decades, died on Saturday at his home in Romney, W.Va. He was 102 and had been the oldest living former member of Congress.His wife, Carol, said the cause was a stroke.Before entering politics, Mr. Hechler was a college professor, a best-selling author and a speechwriter for President Harry S. Truman.A Long Island native, he was elected to Congress as a Democrat in the fall of 1958, only a year after arriving in West Virginia to teach government at Marshall College in Huntington.“I was a carpetbagger in a state where people and their ancestors are very much honored,” he said in an interview for the Harry S. Truman Library and Museum in 1985. “Everybody kept asking me, ‘Who are you kin to? Hechler? I never heard that name around here.’ ”",politics
"PhotoGood Tuesday morning from Washington, where the combative Representative Michael G. Grimm, Republican of New York, has announced that he is stepping down; the antitax crusader Grover Norquist is giving Republicans credit for the economic recovery; and Representative Steve Scalise, Republican of Louisiana, is being asked to explain a speech he gave 12 years ago to a white supremacist group. In Hawaii, President Obama apologizes to a bride and groom who were forced to move their wedding for his golf game.Representative Michael G. Grimm of New York insisted last week that he would not resign from his seat, even after pleading guilty to federal tax evasion charges.On Monday night, he changed his mind.Mr. Grimm, 44, the only Republican House member from New York City, announced shortly before midnight that he did not believe that he could “continue to be 100 percent effective in the next Congress, and therefore, out of respect for the office and the people I so proudly represent, it is time to start the next chapter of my life.”He released the statement just hours after meeting with Speaker John A. Boehner.If he hadn’t resigned, Mr. Grimm, a former F.B.I. agent, was facing House rules that would have severely restricted his ability to fulfill his functions as a congressman and would have left the 11th District — which includes Staten Island and part of Brooklyn — without effective representation until 2016.Mr. Grimm, once a rising star in Republican politics, was indicted in April, but he was overwhelmingly re-elected in November. He will officially step down on Jan. 5, and his sentencing is June 8. (Guidelines recommend that he get as much as three years in prison.)He will leave Congress with one indelible moment: his threat after this year’s State of the Union address to break a reporter in half and throw him off a Capitol balcony.— Jason HorowitzFederal lawmakers managed to close out the year by avoiding legislative infamy: They were not part of the most do-nothing Congress in history.But that’s only because they became so productive, comparatively, during the lame-duck session after the November elections.The winner, and the least-productive American Congress of all time, remains the 112th, by a slim margin.The Congress that wrapped up its business this month enacted 296 laws, according to a new Pew Research Center report. That’s 13 more pieces of legislation than had made it through the previous session.“When Congress broke for its election recess, it had passed just 185 laws, putting it on pace to be the least-productive in recent history,” said Drew DeSilver, a senior writer at Pew.And that legislative rally? “One might not have predicted such a finish,” he said.You also have to look at what Congress actually passed. There were significant pieces of legislation like the $1.1 trillion spending bill and a big defense policy measure. But there were also ceremonial honors, like the Congressional Gold Medal for the golfer Jack Nicklaus and honorary citizenship for the Spanish general Bernardo de Gálvez, a hero of the American Revolution who died more than 200 years ago. (Galveston, Tex., is named for him. You’d think that would be honor enough.)— Alan RappeportThe fallout was just starting Monday night after a liberal Louisiana blogger broke the story that Representative Steve Scalise of Louisiana, the new House majority whip, had given a speech to a white supremacist and neo-Nazi group that goes by the acronym EURO.The speech was in 2002 — while Mr. Scalise was a state legislator — but it appears that the repercussions will play out in early 2015. Democrats were quick with a statement calling for Mr. Scalise to apologize and saying that the speech was “a serious stain on Scalise’s record as a public servant.” Speaker John A. Boehner’s office didn’t immediately comment.The report was heating up on Twitter, MSNBC and liberal blogs, and it could pose a headache for House Republicans who were looking for a smooth start to the 114th Congress next week. Mr. Scalise was elected to his position as the No. 3 leader in the House in June, in part to ease the bruised feelings of many hard-line conservatives, especially those from the South, who were feeling shut out of leadership.Trent Lott of Mississippi, the former Republican leader of the Senate, was tripped up by a similar controversy in 2002 over remarks he made at Senator Strom Thurmond’s 100th birthday party — words that some construed as support for Mr. Thurmond’s segregationist past. Mr. Lott stepped down from his leadership post two weeks later and left the Senate in 2007.— Steve KennyWith each new nugget of positive economic news, Republican dismissals of the recovery that is gathering steam have become less politically tenable.More than 300,000 new jobs in a month? How do you explain stagnant wages? Weekly wages were up, too? We’ll see about next month. Five percent economic growth?That might have been too much to ignore.So on Monday, Grover Norquist, the antitax crusader, may well have heralded a Republican shift on the economy. He credited the budding revival to the party’s austerity push.In a series of Twitter posts, Mr. Norquist noted that federal spending has dropped since 2011 to less than 20 percent of the economy from 24 percent — coinciding with Republican control of the House, the budget wars, automatic spending cuts, and even a government shutdown.Coincidence? In large part. The recovery is causing much of the drop in spending, not vice versa. The other big drop has come in defense as combat has ended in Iraq and, now, in Afghanistan.But spending at the discretion of Congress, a smaller part of the budget than automatic spending tied to Medicare, Social Security and interest on the debt, has shrunk to the smallest level as measured against the economy since the Eisenhower administration.Only now is government spending adding to economic growth. That is in part because the budget agreement between Representative Paul D. Ryan, Republican of Wisconsin, and Senator Patty Murray, Democrat of Washington, loosened the reins on spending slightly.— Jonathan WeismanMayor Bill de Blasio of New York, struggling to quiet criticism over the deaths of two officers, meets with leaders of the city’s police unions. On Monday, he was greeted by a scattering of boos and jeers at a graduation ceremony for new officers.Standard and Poor’s Case-Shiller index of home prices will be released at 9 a.m.The Conference Board releases its Consumer Confidence Index for December at 10 a.m.A scheduling conflict at a Hawaiian golf course set off a series of questions on Monday that are typically asked about Washington’s most high-profile scandals: What did the president know, and when did he know it?The kerfuffle began Sunday evening when Bloomberg News reported that a military couple was forced to move their wedding because the president wanted to play at the golf course where they were scheduled to marry.The couple got the news during their rehearsal on Saturday and had 24 hours to scramble for a new place to take their vows.The story cast President Obama, who has golfed six times in the 10 days he has been on vacation, as placing his game above the couple’s special day.But as the story ricocheted around the Internet, details emerged that painted the president in a different light. According to an official briefed on the events surrounding the wedding, the golf course manager made the decision without conferring with the White House or the Secret Service.Had the manager done so, the official said, the president would have played at one of several other courses he has frequented. When the president took to the links on Sunday, he had no idea that he was displacing the couple, the official said.And when the White House learned that Bloomberg was preparing a story, Mr. Obama called the bride to apologize. “The president of the United States still felt bad and called the bride!” the official said. “Per her quotes in the story, she’s absolutely thrilled. Everybody wins!”— Michael S. SchmidtNew documents detail the evidence that the F.B.I. has gathered against former Senator John E. Ensign, Republican of Nevada.Federal officials are said to be investigating Sheldon Silver, the New York Assembly speaker, for payments he received from a law firm that specializes in real estate matters.The Chinese government appears to have blocked Gmail.Kathleen Sebelius, the former health secretary, tells Politico that she has few regrets concerning the rollout of the Affordable Care Act, despite its troubles and the widespread criticism she faced.Low gasoline prices have hurt government efforts to encourage fuel efficiency, according to The Wall Street Journal.Variety reports that “The Interview” — the movie targeted by cyberattacks linked to North Korea — is the year’s top seller on YouTube and Google Play.Stars and Stripes talks to Afghanistan veterans as the United States ends its official combat role there.",politics
"MacLeod’s fiction is full of traps — some physical, some psychological, none easy to wriggle free of. His 2016 novel “Stranded” is about a polar expedition stuck in the ice, and many of the strongest stories in “13 Views of the Suicide Woods” are about confinements of various kinds: There’s one called “The Texas Chainsaw Breakfast Club, or I Don’t Like Mondays,” in which a group of high-school kids are taken prisoner by a demented teacher; another (“Reminisce”) whose hero, a homeless veteran, is kidnapped by an apparently ordinary suburban couple; and several more in which characters are maneuvered (or maneuver themselves) into places where their options are, let’s say, severely limited. Sticklers for genre classification might prefer to label the stories in this book something other than “horror” — “dark fiction,” maybe, or noir — but what’s the point of quibbling? Noir, I’ve always thought, is only horror without the metaphors. The affinity may be more evident in the movies than in literature. The visual style of film noir, with its shadowy, high-contrast blacks and whites, is pretty much identical to that of the classic horror movies of the ’20s, ’30s and ’40s; the same director (Jacques Tourneur) and the same cinematographer (Nicholas Musuraca) made “Cat People” and “Out of the Past,” after all. MacLeod’s characters, who are often working-class people with dangerously low expectations of life, remind me of the doomed protagonists of Cornell Woolrich’s novels and stories, those hapless folks for whom everything, elaborately and implacably, sooner or later goes wrong. Sounds like horror to me.ImageIf there’s anything that has changed significantly in the horror landscape of the past 30 or 40 years, it’s the increased fluidity of the genre’s conventions and its readers’ expectations. Monsters are no longer required, unnatural creatures like vampires and werewolves and even zombies are no longer necessarily the villains, and “horror” now seems less a literary (or cinematic) form than an attitude, like rock ’n’ roll — which has, at least since the punk revolution of the 1970s, embraced the genre warmly. Josh Malerman, the author of the delirious new novel BLACK MAD WHEEL (Ecco, $26.99), is relatively new to horror fiction — his first book, “Bird Box,” was published three years ago — but he’s a rock veteran: He has been the lead singer of the Detroit band the High Strung for over 20 years. Philip Tonka, the hero of “Black Mad Wheel,” is the piano player of a Motor City rock ’n’ roll outfit called the Danes, who as the novel begins are a dozen years past the end of their service in World War II and enjoying the freedom, money and fame their music has brought them. Into their idyllic little world, a studio they call Wonderland, one day comes a high-ranking military official who wants them to listen to a tape recording of a mysterious sound. He wants them, for a price, to help the Army locate and identify it; this sound, it seems, has the power to neutralize any kind of weapon, and perhaps to make people disappear. We know it’s bad, because in the book’s first scene Philip wakes from a coma in a hospital bed, months after the expedition, with practically every bone in his body crushed and his bandmates gone; for most of the rest of the story he tries to remember what happened, and to figure out what the military has in mind for him now.It’s a good setup for a science-fiction horror novel, and Malerman, alternating past and present, keeps the action galloping along nicely, a long jam with a seductive, infectious rhythm. But in the time-honored traditions of both horror and rock, things get wilder and stranger as the big finish approaches: Malerman’s story takes flight in some head-splitting metaphysical directions. It’s as if he were veering off into a search for cosmic harmonies, the very music of the spheres, and although I couldn’t quite hear it myself, I enjoyed listening to his frantic improvisations. His crash-and-burn attitude can be a useful aesthetic for musicians, and for writers. It’s only rock ’n’ roll — or horror — but I like it.ImageThere’s something of that reckless abandon, too, in Giorgio De Maria’s startling THE TWENTY DAYS OF TURIN (Liveright, $24.95), a novel that would place its author in the vanguard of the new horror were it not for the inconvenient fact that he wrote it 40 years ago. (And the melancholy fact that he died in 2009.) Now that it has been translated into English for the first time — serviceably, by Ramon Glazov — it could, I suppose, take its place as a freshly exhumed classic from the period Laird Barron cites as the genre’s heyday, except that it doesn’t much resemble the horror fiction of that King-dominated time. Or, for that matter, any other. The novel is subtitled “A Report From the End of the Century” and is narrated by an unnamed man who is trying to write an account of some disturbing events of a decade earlier, which may or may not have been “a phenomenon of collective psychosis.” For three weeks, it seems, large numbers of ordinary citizens of Turin began to suffer from insomnia and to wander, mute, through the streets of the nocturnal city, where some met grisly ends. Unearthly sounds (like “a terrible war cry” ), a few remember, accompanied the macabre doings; the surviving witnesses can’t explain what they saw or heard. During this same nightmarish time, a new civic institution suddenly came into being, a library of anonymous personal diaries made available for perusal at the St. Cottolengo Little House of Divine Providence. The connections among these disparate spooky manifestations, all of which ended as suddenly and as inexplicably as they began, are what the narrator is attempting to discover, at least until it dawns on him that his investigation might be putting him, and his city, in danger. He senses he’s being followed; he’s receiving peculiar unsigned letters, to which he is expected to respond; and from time to time a nun, Sister Clotilde, pops up to issue a cryptic warning. He considers leaving the city.",movies
"The peculiar credit appears at the end of N.B.A. finals broadcasts on ABC. There is no reason for this single line to be shown publicly. The information it conveys is irrelevant to viewers and is an example of a major entertainment company speaking publicly to itself. But it tells you why N.B.A. games are carried by ABC, whose once-dominant sports division was buried long ago.“The preceding program has been paid for by ESPN Inc.,” the credit reads after the announcer Mike Breen gives his end-of-game remarks.The line suggests a bookkeeping arrangement between two networks within the Walt Disney Company — ESPN pays ABC for showing N.B.A. games, like the ones in the Cleveland Cavaliers-Golden State Warriors series, which is headed to Game 4 on Thursday. ABC is being compensated for a three-hour block of time where it could have carried something else. How much ABC receives is a mystery, as is anything official about the intracompany deal. In a cryptic response to my request for details, John Wildhack, ESPN’s executive vice president of programming and production, said, “It’s an internal conversation.”Yet, ESPN holds that conversation with nearly 20 million viewers at the end of each finals game (and throughout the regular season) — and has held it since acquiring the rights to N.B.A. games in 2002.",sports
"LONDON — Tata Steel of India agreed on Monday to sell part of its British business to the investment firm Greybull Capital, preventing thousands of job losses and freeing it up to focus on the sale of its other big plant in Britain.The British government has been under pressure to ensure that the Tata plants are sold rather than shut down after the steel maker, one of the world’s biggest, said on March 30 that it would sell its unprofitable British business, possibly putting 15,000 jobs at risk.Greybull said it would buy Tata’s Long Products Europe division in Scunthorpe, in Northern England, which employs 4,400 people. Separately, the process to try to find a buyer for Tata’s other major British plant, at Port Talbot in Wales, began on Monday.Greybull said it was arranging a 400 million pound, or $565 million, investment and financing package for the Scunthorpe business, as part of a deal that included an agreement with suppliers and trade unions.",business
"BUT for starters, as anyone who has been to a funeral knows, to contemplate any death is also to remember a life, and how it intertwined with and influenced one’s own. I was sad to learn that the writer William Zinsser passed away in May at age 92. But what a life! I worked with him as a young editor years ago, and kept in casual touch for a while afterward: I went to see him play piano, we corresponded about sheet music, that sort of thing. He was a master of the craft, as you’d expect from the author of “On Writing Well,” but what sticks with me is how profoundly kind and generous he was to such a minor acquaintance. He was an example of how to be; any prompt to remember him, I’ll take.Less sentimentally, there’s Gore Vidal. As a longtime fan, I lament his absence. His entry in my address book, however, consists of a fax number in Italy that worked in 1999. I know it worked because I used it to try to persuade him to write an essay for The New York Times Magazine, where I was then an editor. His response came in a 3 a.m. message on my home answering machine, dismissing the idea, my employer and me. Colorfully. Clearly there’s no sensible reason to save this contact, but whenever I stumble upon it I know: I’ll never be able to take that out.I’ve picked a couple of familiar names to make a point that applies to the many contacts in my address book that you would not recognize. Each brings to mind memories that I welcome, even those who died far too young. And while I’m publicly skeptical of the theory that digital technology usefully allows us to offload our memories, I secretly worry that it’s true enough to make deleting contacts feel a bit like shredding pages of a diary, or even zapping cells from my brain.Or maybe something even more troubling: The convenient-by-design act of deleting the name of a dead friend with a simple tap or click can feel like overtly participating in removing that person from the world.Not long after I read that Steve Jobs anecdote, Grantland posted a short video in which Gay Talese thumbed through, and discussed, his address book. Of course it’s not digital (in fact, it’s leatherbound), but it dates back more than 50 years, and its pages are a gorgeous jumble of handwriting, cross-outs and even paper scraps of new information taped over old entries. The author reads out some celebrated names from this de facto record of personal encounters and professional curiosity. Some, naturally, are dead. “I make a point of not erasing names, as a rule,” he remarks. “I don’t think that it’s ethical to erase the past.”My address book lacks the aesthetic charisma of Mr. Talese’s analog object, just as any given Pinterest board is less fascinating and visually distinct than your grandmother’s adolescent scrapbook. Contacts software is designed for efficiency and ease of use, not emotional evocation or stealth autobiography. But Mr. Talese’s point holds true for my digital object anyway: “Those people listed in that book have next to nothing in common with any other person in that book,” he observes, “except through me.” For this reason, among others: “That book is a connection to my whole life.”Mr. Talese has lived a singular life. But then again, haven’t we all? And while for someone my age the urge to preserve a digital address book is tied to memories of physical reference points for personal objects (a clothbound volume, ink on paper), a young person today is collecting what could be a contact list that will reach back to childhood. It seems to me that even a simple ledger of everyone you’ve ever known is actually an amazing thing, whether anybody gets around to filming you scrolling through it or not.",business
